comparison	kegg_pathway	ko_id	significant_compounds	pathway_compounds	significant_compounds_total	compounds_total	metabolite_index_list	kegg_compound_list	kegg_url
KP_vs_Con	Pathogenic Escherichia coli infection	ko05130	2	5	185	562	MEDN2393;MEDN2394	C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map05130
KP_vs_Con	Biotin metabolism	ko00780	2	5	185	562	MEDP0011;MEDP0143	C00047+C00120	https:\\www.genome.jp\dbget-bin\www_bget?map00780
KP_vs_Con	Antifolate resistance	ko01523	1	3	185	562	MEDP0020	C00073	https:\\www.genome.jp\dbget-bin\www_bget?map01523
KP_vs_Con	Cobalamin transport and metabolism	ko04980	1	2	185	562	MEDP0020	C00073	https:\\www.genome.jp\dbget-bin\www_bget?map04980
KP_vs_Con	Thyroid hormone synthesis	ko04918	2	4	185	562	MEDP0184;MEDP0186	C02465+C01829	https:\\www.genome.jp\dbget-bin\www_bget?map04918
KP_vs_Con	Thyroid hormone signaling pathway	ko04919	2	3	185	562	MEDP0184;MEDP0186	C02465+C01829	https:\\www.genome.jp\dbget-bin\www_bget?map04919
KP_vs_Con	Autoimmune thyroid disease	ko05320	2	2	185	562	MEDP0184;MEDP0186	C02465+C01829	https:\\www.genome.jp\dbget-bin\www_bget?map05320
KP_vs_Con	Arginine and proline metabolism	ko00330	5	15	185	562	MEDP0297;MEDP0313;MEDP1280;MEDP1475;MEDP1741	C00431+C00581+C00019+C02565+C00179	https:\\www.genome.jp\dbget-bin\www_bget?map00330
KP_vs_Con	Ether lipid metabolism	ko00565	1	2	185	562	MEDP0442	C00670	https:\\www.genome.jp\dbget-bin\www_bget?map00565
KP_vs_Con	Insulin resistance	ko04931	1	11	185	562	MEDP0510	C02571	https:\\www.genome.jp\dbget-bin\www_bget?map04931
KP_vs_Con	mTOR signaling pathway	ko04150	1	2	185	562	MEDP0752	C00123	https:\\www.genome.jp\dbget-bin\www_bget?map04150
KP_vs_Con	Shigellosis	ko05131	2	2	185	562	MEDP0752;MEDP1144	C00123+C00407	https:\\www.genome.jp\dbget-bin\www_bget?map05131
KP_vs_Con	Sulfur relay system	ko04122	1	3	185	562	MEDP1280	C00019	https:\\www.genome.jp\dbget-bin\www_bget?map04122
KP_vs_Con	Fatty acid degradation	ko00071	1	10	185	562	MEDP1397	C02990	https:\\www.genome.jp\dbget-bin\www_bget?map00071
KP_vs_Con	Fatty acid metabolism	ko01212	1	2	185	562	MEDP1397	C02990	https:\\www.genome.jp\dbget-bin\www_bget?map01212
KP_vs_Con	Thiamine metabolism	ko00730	1	5	185	562	MEDP1949	C03373	https:\\www.genome.jp\dbget-bin\www_bget?map00730
KP_vs_Con	Steroid hormone biosynthesis	ko00140	2	15	185	562	MEDP2059;MEDP2798	C04295+C00762	https:\\www.genome.jp\dbget-bin\www_bget?map00140
KP_vs_Con	Ovarian steroidogenesis	ko04913	1	9	185	562	MEDP2059	C04295	https:\\www.genome.jp\dbget-bin\www_bget?map04913
KP_vs_Con	Aldosterone-regulated sodium reabsorption	ko04960	1	3	185	562	MEDP2798	C00762	https:\\www.genome.jp\dbget-bin\www_bget?map04960
KP_vs_Con	Prostate cancer	ko05215	1	5	185	562	MEDP2798	C00762	https:\\www.genome.jp\dbget-bin\www_bget?map05215
